video_id,comments_disabled,ratings_disabled
xXf2ct7C2fQ,False,False
8JfMdhrbehY,False,False
VUBxPuyUD7w,False,False
H5Su_JEpDaE,False,False
T9KTTP7jrBo,False,False
Kf2-86o5S1o,False,False
ym4MWosKD6M,False,False
iCXQwI2Luw8,False,False
8-u5nd2GqNE,False,False
L9FA9U4s3Tg,False,False
UUreMfN5eNA,False,False
ARuS950sgXM,False,False
Y1n8F4uClUU,False,False
-C5q3oir8gA,False,False
QzfnWcHhdyQ,False,False
_3rb5IKvkUw,False,False
H2mNDaqOp3o,False,False
hivGryRKGvk,False,False
6oIWl1jLE20,True,True
IQ2lnlj9WzQ,False,False
D-dwmYeLLng,False,False
VNqrILFD5h0,False,False
XxvQIaCJ9Xw,False,False
4VDylTCCzOY,False,False
srkj63VBSHM,False,False
ByeyFfOHgQA,False,False
3D_ZODCSKXo,False,False
HaRpFCEWLE0,False,False
AB_u_kOSP8Y,False,False
kZete48ZtsY,False,False
zYX1bgxEAhw,True,False
l7VfDVVxiMM,False,False
66kn6Dcr12E,False,False
qB24uIe2Q7c,False,False
5ek2W8hUvGw,False,False
kiE71P138rc,False,False
nRLP9BoSQo4,False,False
zMKI64iY2CY,False,False
lVudO9x8fbQ,False,False
Oapebl0bADA,False,False
9Th4qTv-4jE,False,False
9YlnHbN28jo,False,False
w7WsuNNLcNw,False,False
Vfugwq2uoa0,False,False
UH0nTHb6OdY,False,False
H_ZaS6agxPs,False,False
PAczA2saYWM,False,False
8Y5-GI9hYcI,False,False
eEdPnm-AZ94,False,False
WG8JK-cPu-g,False,False
a6D9ksDanh0,False,False
bAfn2duIlN8,False,False
wJ5bOg46D7Y,False,False
h22kNL89csk,False,False
o3T_o4WM-n8,False,False
6xUnndUTDBQ,False,False
vfHd8MF0ExU,False,False
2ktuvx9hrMw,False,False
pDf5sHgvo0A,False,False
dKccvk36atQ,False,False
bTfJa_Qb5T0,False,False
RxzZ_OXQApM,False,False
-knTMViJqMU,False,False
5km8U9K-WLw,False,False
biIRlcQqmOc,False,False
iC7wWFQUUqU,False,False
oZm_N6aSU0E,False,False
7_FJUSBFbJM,False,False
MUWUHf-rzks,False,False
C2-bOy3H6Ss,False,False
7keZTcdouoY,False,False
EZSCtgfmEO0,False,False
dd3XfA4NVcQ,False,False
_QWZvU7VCn8,False,False
TTogFxTu_vA,False,False
UYZ1WjJI1NM,False,False
oe9-_fD55ok,False,False
HuWLoCF9rWQ,False,False
PitmObjGur4,False,False
zeQaJGkFyqQ,True,False
yqnr91FFV4U,False,False
Y1IMfvF8aQ0,False,False
UWz4LPyoSw4,False,False
naOKPDCngMI,False,False
JQBrUjPaCNw,False,False
XIxZLrruFpg,False,False
LKnQVCCX8vU,False,False
Ja_GMU7-sjs,False,False
JefYnYIXY_8,False,False
O5GhCbhGWQ0,False,False
sNTLwCEiIJ4,False,False
1Xgm5R4eMao,False,False
Ev9rOA2Yjs0,False,False
qEklBC2BQig,False,False
DxSf6Nb_I7o,False,False
C1fRIyBW4kk,False,False
vAGtarDX544,False,False
TsYGNNPQ3ZU,False,False
76c_nxhuVdM,False,False
_9krQvcXKO4,False,False
9JBKuNrd5m8,False,False
IcDI1iWmIp8,False,False
ZWllUdFLzXU,False,False
ijJPFowBsBc,False,False
X5DWRXTOUD0,False,False
pVxOVlm_lE8,False,False
iIxy3JN3-jc,False,False
mdyegeGkdL4,False,False
2QMjAiy_2t8,False,False
0zZ0Y_UZRBw,False,False
KyB0zVHm2P0,False,False
5TLANg1GC7U,False,False
dhOMtP72o2Y,False,False
wd8h1iND_ys,False,False
QwievZ1Tx-8,False,False
mRo6MnXObuE,False,False
_GZlUextcAA,False,False
VPJ7BcVsOUU,False,False
ajh-Gn-2wWo,False,False
88kkrRv1UgI,False,False
9udUUMxQNG0,False,False
ClM-MORjXQI,False,False
5orrZxSjLQA,False,False
zTY7dvFJbXY,False,False
ZAD3JJvMWjA,False,False
7m630xvAJtA,False,False
40zKzYxwaF0,False,False
9aC3UOu5dR0,False,False
U5nrrnAukwI,False,False
f5Y3cf3MFIw,False,False
IzbcIFW1qB0,False,False
3jcolXvi8IA,False,False
UuCq8mtK8J4,False,False
d1hs-JI_yBE,False,False
O8bszsJ0D7I,False,False
dx0jvrlV_EQ,False,False
nWZMfPP34g8,False,False
JaNmH8A-4NM,False,False
Hfho_nJ5JJ8,False,False
dLRZTBtdMUg,False,False
hahlygBa6yQ,False,False
EJu_wPGFTw0,False,False
iMg9ibfcBnM,False,False
paxgKBUK4wQ,False,False
wPib0uRFmC0,False,False
30TkClWvT5k,False,False
FL9BbzUYXjA,False,False
PWrsHhAuVZg,False,False
Ugcz3EaGodE,False,False
7Tivcf-zIOU,False,False
yejbi6aD8IA,False,False
eijd-yjXY9E,False,False
GDUncuEErzQ,False,False
GMOG2yY6pAI,False,False
P85a37YTsuU,False,False
KUUjtUP2CrE,False,False
au5hwGS4KRE,False,False
tYF1dQRVS2c,False,False
CmO2143BzYA,False,False
8bXF29AeVQc,False,False
FB64ez0kf1c,False,False
aFuA50H9uek,False,False
lfkYyrhWphE,False,False
4SvJgnhnUag,False,False
ijVLdH5dt-c,False,False
D4pdh0eTsxw,False,False
KbbgQsTbQ9Q,False,False
iyjqs_1Nhr8,False,False
CYZkT8gbiEk,False,False
rYcnh7hXOjE,False,False
FmmLiydvFI0,False,False
BHuH-vySEMA,False,False
bS_Zr-Hu4Mw,False,False
TnCa71iUVxA,False,False
LbW-bMToXqo,False,False
p9wE8dyzEJE,False,False
ycuMyyqBWQY,False,False
WbYqfpnw7sE,False,False
-3nEHRN6IPg,False,False
Ocq_0Yl1EEk,False,False
KIFiLnPHUoM,False,False
ee24QB3o16o,False,False
qzLkSAVD8gA,False,False
jkkinXnXErk,False,False
cDZfh5IjGv8,False,False
5PB2YzNddI8,False,False
fwLxwMKMjEQ,False,False
7BdizVgHf8I,False,False
UCrMn3LLMVU,False,False
iWeNDPTYAZw,False,False
zsoh0Y_VXdY,False,False
YEGhKwpEKEw,False,False
KkhR9z6pAMs,False,False
pgkaAzDMEYA,False,False
EP06RO4INws,False,False
GYLBjScgb7o,False,False
VifQlJit6A0,False,False
aXLS_WDIugk,False,False
0gW9EnfWzDw,False,False
fRj34o4hN4I,False,False
Wo5XO8Y8lzE,False,False
bYXM3uz1bjM,False,False
zg4Xg7_u3sE,False,False
b3ofgTrsXPI,False,False
-xt_j2aIAkg,False,False
4eKYR_iL5eU,False,False
98ixGAcR1T4,False,False
s_LxZx42sIk,False,False
M4vnmgZLA8s,False,False
2TCHVvJ73kM,False,False
xYtsL9znopI,False,False
NEmFS50lsTw,False,False
mB7hkJ33044,False,False
kUosDBUjq5A,False,False
vTJKosHxYtM,False,False
Xx1tK0RyZxs,False,False
PE7ZhHirBFk,False,False
MXpPRTHo5fs,False,False
2VggEmXPnGw,False,False
ZrhKHytNLqY,False,False
_CJN_ryETIY,False,False
3pCCjHDPq6U,False,False
CG9yQ8PXf6o,False,False
lH4WpBbX0oE,False,False
bS9zXmexXUQ,False,False
nIne06IQd_U,False,False
qFy5XyZsUeo,False,False
GcKkiRl9_qE,False,False
FO_Ox_dH0M8,False,False
jhEBBGOD7es,False,False
D_CZ8v9uZJY,False,False
e7OQ_ayQTog,False,False
dedaP9ym-hY,False,False
b6fepBtNgVM,False,False
BR7AnZ3S8u8,False,False
6_-b3U9QDKg,False,False
flvn3JfcVHk,False,False
31Fbv9qRV7s,False,False
HmBIn9De-Yc,False,False
A_fUji0jTAE,False,False
8RMScghsI6o,False,False
2Yz_kqxegrs,False,False
oSEeK9yDNQI,False,False
aMQbRpxgFvs,False,False
3_keXD1yV3E,False,False
CxGUmtRLm5g,False,False
4RYZEOZqWGk,False,False
b9lb2x_OHOk,False,False
Stbz2qg3ACc,False,False
2nSXgn68gPQ,False,False
2qzrjzN5ns0,False,False
p3MjsrMNCbU,False,False
7rOQv_6L9fQ,False,False
hms9nX3RUdk,False,False
0b6l7MIaGdA,False,False
LMCuKltaY3M,False,False
9brhgq2OmXw,False,False
nx1R-eHSkfM,True,True
FwzoDS3zL_4,False,False
IiRmtBZu0pM,False,False
g_WBVi-bu9Q,False,False
eYJCjVkOImU,False,False
oZYryYLYIsM,False,False
q-jZm-FUbqs,False,False
MC5bNVTMxyQ,False,False
ZvdTNDMru78,False,False
de7GaRwrr8Q,False,False
MtJFuT0KFq4,False,False
GxmDeU_4UlQ,False,False
SI1J2bbbOt4,False,False
YHDbsyyjld0,False,False
RWzZeA2GMsk,False,False
NeH_wFJ8lZc,False,False
HbKnEQdCjGg,False,False
vKuy3NdLhlE,False,False
9wg3v-01yKQ,False,False
VLxl1UeuwHY,False,False
894rSubVE5E,False,False
vnuk6bbPXeY,False,False
CbWP9nvnRhw,False,False
24HFgBQawWA,False,False
SETyZLN0UmI,False,False
3tUSDKhcxcc,False,False
TQ1O0YdH54M,False,False
-xAMnJgc3oA,False,False
KNxUDJ8_qI0,False,False
YvcIeSfaB3c,False,False
Bzji05zubSc,False,False
x-uBFJLY8Ow,False,False
JpoUN_A12Eg,False,False
1mYB8onrPt0,False,False
-VgOGzBcMIg,False,False
zNqSvg5qwGw,False,False
LK3Yz9UpP_A,False,False
UbmGPOHJYpA,False,False
