video_id,total_views,total_likes,total_comments,comments_disabled,ratings_disabled
TnCa71iUVxA,6353130,267032,11456,False,False
wowAOdTYqw8,6345613,172044,12909,False,False
0YVbVXOjJv4,6345613,5155,636,False,False
pTysrwci0pU,6303293,313926,29134,False,False
ySy8mcceTno,6263424,103930,32492,False,False
o7iL2KzDh38,6262956,266912,13878,False,False
SphTGtDlhHw,6261069,153566,9387,False,False
GEB2f5dpFXs,6225124,527481,18323,False,False
BC19fhyTG_M,6217292,635452,79385,False,False
6sHIq41sI-w,6215935,428599,44156,False,False
nRafaCcfrcI,6197393,476724,23008,False,False
ZCPwpcurYns,6187534,355336,30425,False,False
nWZMfPP34g8,6187457,178243,44063,False,False
aj8mN_7Apcw,6185841,52629,13915,False,False
kewIE0Zw6yY,6183923,135311,13501,False,False
N39uwTykTQk,6169981,164550,9302,False,False
ZUSPD9zOyJs,6157587,189440,8078,False,False
Sb_hCbZ80aQ,6131880,65772,3652,False,False
1ZAPwfrtAFY,6109402,151250,19820,False,False
4HU6Z7anycw,6106813,292251,17562,False,False
0URpDxIjZrQ,6095300,164449,18665,False,False
k2NskGo6x40,6062089,123467,35574,False,False
nVHcXZK7pKs,6041315,383140,27230,False,False
dT5ALH3ICTc,6037731,132975,13109,False,False
xYtsL9znopI,6010383,242098,11671,False,False
pcJo0tIWybY,6004782,210802,15169,False,False
x4TZEVqKIvs,5986604,192698,25712,False,False
9NC2saE5MbQ,5985284,33243,16703,False,False
7AXo-bYGXI4,5966226,189276,7166,False,False
SkcucKDrbOI,5962519,100761,14578,False,False
me5ifeBFaFo,5952094,96880,8159,False,False
cHB_s970Uyw,5950405,147608,17901,False,False
mQ055hHdxbE,5948415,181069,14394,False,False
Vm4Xn5vjqRA,5938439,1121217,83660,False,False
Ye4z35i1b2Q,5917100,51231,6613,False,False
VVMCz04CmlA,5913551,172833,14867,False,False
tJv-xtxKkQY,5875671,202863,48361,False,False
a7NJ6Gek9v4,5875258,263740,14042,False,False
gPHVLxm8U-0,5829270,87323,11933,False,False
dpLrlEBFq-0,5827999,223308,14034,False,False
hEnWzvzVMaA,5816067,216895,22775,False,False
DV1OqgHb3jc,5790135,300602,59994,False,False
K5xERXE7pxI,5786038,260499,18838,False,False
u_C4onVrr8U,5767032,126693,4602,False,False
ZwoDYJWWXW0,5758360,169384,10716,False,False
MvFcY9rTPx8,5755949,43802,0,True,False
z2kEKZ6jyQQ,5741781,141851,16547,False,False
leu-cTvMWTA,5739252,782030,90039,False,False
R10qTLfwm8E,5733673,173998,13060,False,False
GjDK_6NtYGQ,5712641,41838,3286,False,False
UNnHy6Qc5-c,5684795,374882,14889,False,False
oV0zkMe1K8s,5660813,192957,13088,False,False
kUZlz6VbMCg,5625319,37240,0,True,False
jzLlsbdrwQk,5613561,98856,11814,False,False
r2vpDWS5ky4,5613554,452265,24206,False,False
R1TSiB9OuVM,5609393,94802,3738,False,False
Isvqg90LhqM,5605621,214818,14384,False,False
Wm8QlNCk-wg,5597364,107171,6890,False,False
SbrOMrjhyvI,5587218,33110,4007,False,False
RQZr2NgKPiU,5579079,365439,77462,False,False
M3mJkSqZbX4,5578495,62112,4086,False,False
cMD63TwzB1o,5569216,146375,21144,False,False
_QWZvU7VCn8,5564576,46351,2861,False,False
LfeEu4_vtfQ,5558317,193454,13509,False,False
V3EYjVPRClU,5557499,161177,14270,False,False
ZfHiw_LFNGw,5545698,23966,3308,False,False
7UoP9ABJXGE,5534278,45128,806,False,False
kgaO45SyaO4,5531707,72727,14816,False,False
mUYsp5baMXo,5517903,243696,16841,False,False
pz95u3UVpaM,5476737,286268,12254,False,False
5E4ZBSInqUU,5468928,247884,14903,False,False
xxQhWrAcQnE,5463288,7533,794,False,False
jD83QaWy8LI,5456838,130602,21974,False,False
xF99M6Zilac,5452904,44368,6256,False,False
Q1TXk7ZdiQE,5432414,149111,15905,False,False
MsQb18nU2hA,5420474,239789,25161,False,False
Fj3euSYAtnc,5414339,571108,32400,False,False
lpkRFHSpvGI,5398142,56291,12326,False,False
6jxRnodaKzE,5389292,28418,4565,False,False
kD-_iyS95AQ,5386126,68124,3652,False,False
89OP78l9oF0,5376583,32001,5050,False,False
E-u9uo0laA8,5358351,270831,23603,False,False
8LPVjHxXvJM,5356548,141037,16863,False,False
t0VsbEqfAvo,5352705,68869,25538,False,False
fuHcdFPBKy0,5319685,95924,24170,False,False
5qpjK5DgCt4,5315471,187303,9990,False,False
e77J4g0LMOk,5275288,169795,0,True,False
Qx54quy9tDQ,5270624,75955,13116,False,False
J15vfXqnwWw,5270335,56476,6333,False,False
GfCqMv--ncA,5263337,192996,10721,False,False
OkFdqqyI8y4,5254340,153440,25862,False,False
pFc6I0rgmgY,5249452,35844,7219,False,False
OZsYiWBgFOk,5229704,12469,1689,False,False
kjC1zmZo30U,5224737,41079,3979,False,False
x3zQELlrY6A,5213752,99021,10877,False,False
